"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1412 2012-08-08 619.389984 623.88002 617.099998 619.860008 61176500 82.00653 1.14499936195942 0.814503009153419
1413 2012-08-09 617.849976 621.730011 617.799988 620.729988 55410600 82.474217 1.18449447493982 0.8885013023107
1414 2012-08-10 618.710022 621.760025 618.699982 621.699997 48734700 82.603098 1.21273963561179 0.953348968970918
1415 2012-08-13 623.390022 630 623.249992 630 69708100 83.705891 1.28163110154522 1.01900539548578
1416 2012-08-14 631.870003 638.610023 630.209991 631.690025 85042300 83.930439 1.43038227324723 1.10128077103807
1417 2012-08-15 631.300003 633.999985 627.750015 630.829979 64335600 83.816167 1.52192801888342 1.18541022060714
1418 2012-08-16 631.210014 636.759995 630.499985 636.340012 63633500 84.548266 1.5741606531904 1.26316030712379
1419 2012-08-17 640.000015 648.190002 638.809975 648.110001 110690300 86.112103 1.70909723352639 1.35234769240431
1420 2012-08-20 650.010017 665.150017 649.900002 665.150017 153346200 88.37615 1.92137853719201 1.46615386136185
1421 2012-08-21 670.82 674.880013 650.330025 656.059982 203179900 87.168389 2.32599954366886 1.63812299782325
1422 2012-08-22 654.419998 668.999985 648.110001 668.869995 141330700 88.870411 2.40533545375892 1.79156548901039
1423 2012-08-23 666.109985 669.899979 661.149979 662.630013 105032200 88.041326 2.58399164718905 1.95005072064612
1424 2012-08-24 659.509995 669.479996 655.550011 663.219986 109335100 88.119714 2.60962390408708 2.08196535733431
1425 2012-08-27 679.989983 680.870003 673.540009 675.679977 106752100 89.775229 2.85075214490671 2.23572271484879
1426 2012-08-28 674.979988 676.100014 670.669983 674.800011 66854200 89.658311 2.94152418347196 2.37688300857342
1427 2012-08-29 675.250008 677.669983 672.600014 673.469994 50701700 89.481596 2.97977566740637 2.49746154034001
1428 2012-08-30 670.640022 671.550003 662.849991 663.869987 75674900 88.206077 2.91785934299609 2.58154110087123
1429 2012-08-31 667.249985 668.599976 657.250023 665.240005 84580300 88.388107 2.79401651718738 2.62403618413446
1430 2012-09-04 665.760017 675.139992 664.500015 674.970001 91973000 89.680897 2.64659363138606 2.62854767358478
1431 2012-09-05 675.570015 676.350006 669.599998 670.230026 84093800 89.051113 2.61882850960096 2.62660384078802
